id,stockName,earningsDate,closePrice,datePrior45d,closePrior45d,datePrior30d,closePrior30d,datePrior14d,closePrior14d,datePrior1d,closePrior1d,createdAt,updatedAt
1,ZIP,2020-08-27,9.2,2020-07-13,7.63,2020-07-28,6.13,2020-08-13,6.14,2020-08-26,9.65,2026-01-07T18:42:05.171Z,2026-01-10T10:40:30.104Z
2,ZIP,2021-08-25,7.13,2021-07-09,8.3,2021-07-26,6.8,2021-08-11,7.82,2021-08-24,7.32,2026-01-07T18:41:43.203Z,2026-01-10T10:40:30.119Z
3,ZIP,2021-08-25,7.13,2021-07-09,8.3,2021-07-26,6.8,2021-08-11,7.82,2021-08-24,7.32,2026-01-07T18:41:43.203Z,2026-01-10T10:40:30.119Z
4,ZIP,2022-03-01,2.07,2022-01-14,3.7,2022-01-28,2.94,2022-02-15,2.69,2022-02-28,2.21,2026-01-07T18:41:29.075Z,2026-01-10T10:40:30.125Z
5,ZIP,2022-08-25,0.95,2022-07-11,0.5,2022-07-26,1.02,2022-08-11,1.26,2022-08-24,0.97,2026-01-07T18:41:13.298Z,2026-01-10T10:40:30.196Z
6,ZIP,2023-02-23,0.53,2023-01-09,0.61,2023-01-24,0.7,2023-02-09,0.62,2023-02-22,0.56,2026-01-07T18:40:57.790Z,2026-01-10T10:40:30.203Z
7,ZIP,2023-08-29,0.345,2023-07-14,0.44,2023-07-28,0.47,2023-08-15,0.42,2023-08-28,0.33,2026-01-07T18:40:45.815Z,2026-01-10T10:40:30.209Z
8,ZIP,2024-02-27,0.8,2024-01-12,0.5,2024-01-25,0.74,2024-02-13,0.85,2024-02-26,0.94,2026-01-07T18:40:27.940Z,2026-01-10T10:40:30.215Z
9,ZIP,2024-08-27,2.09,2024-07-12,1.7,2024-07-26,1.77,2024-08-13,1.85,2024-08-26,2.27,2026-01-07T18:40:15.475Z,2026-01-10T10:40:30.221Z
10,ZIP,2025-02-25,2.71,2025-01-10,3.04,2025-01-24,3.19,2025-02-11,2.26,2025-02-24,2.38,2026-01-07T18:40:06.914Z,2026-01-10T10:40:30.230Z
11,ZIP,2025-08-22,3.75,2025-07-08,3.04,2025-07-23,2.99,2025-08-08,3.37,2025-08-21,3.12,2026-01-07T18:39:54.811Z,2026-01-10T10:40:30.236Z
12,ZIM,2020-08-31,10.5,2020-07-17,5.97,2020-07-31,7.21,2020-08-17,7.0,2020-08-28,7.14,2026-01-07T18:39:25.121Z,2026-01-10T10:40:30.241Z
13,ZIM,2021-02-25,15.22,2021-01-11,9.86,2021-01-25,10.06,2021-02-11,9.12,2021-02-24,11.16,2026-01-07T18:39:12.616Z,2026-01-10T10:40:30.302Z
14,ZIM,2021-08-31,22.82,2021-07-16,16.74,2021-07-30,18.78,2021-08-17,18.72,2021-08-30,18.25,2026-01-07T18:38:54.175Z,2026-01-10T10:40:30.307Z
15,ZIM,2022-02-18,25.99,2022-01-04,18.51,2022-01-19,19.99,2022-02-04,19.23,2022-02-17,21.67,2026-01-07T18:38:42.252Z,2026-01-10T10:40:30.312Z
16,ZIM,2022-08-31,26.0,2022-07-15,20.77,2022-08-01,21.47,2022-08-17,25.29,2022-08-30,24.13,2026-01-07T18:38:24.542Z,2026-01-10T10:40:30.317Z
17,ZIM,2023-02-27,27.32,2023-01-13,24.67,2023-01-27,25.3,2023-02-13,27.18,2023-02-24,26.13,2026-01-07T18:38:08.361Z,2026-01-10T10:40:30.323Z
18,ZIM,2023-08-29,24.55,2023-07-14,23.36,2023-07-28,24.74,2023-08-15,23.55,2023-08-28,23.24,2026-01-07T18:37:37.949Z,2026-01-10T10:40:30.328Z
19,ZIM,2024-02-27,19.2,2024-01-12,21.86,2024-01-25,21.84,2024-02-13,21.0,2024-02-26,19.35,2026-01-07T18:37:24.900Z,2026-01-10T10:40:30.333Z
20,ZIM,2024-08-20,15.99,2024-07-05,16.51,2024-07-19,16.46,2024-08-06,16.0,2024-08-19,16.1,2026-01-07T18:37:12.767Z,2026-01-10T10:40:30.339Z
